Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
118,-0.3792682,0.0015817076,-0.37926817,-0.03699977,-0.15091805,-0.02939448,-0.3742191,0.0015817076,-0.3742191,-0.065120466,-0.34767833,0.023983872
119,-0.37926802,0.0015817076,-0.379268,-0.03696872,-0.15090394,-0.029371336,-0.3742208,0.0015817076,-0.3742208,-0.06513893,-0.34768185,0.024011482
120,-0.37926596,0.0015817076,-0.37926593,-0.036933955,-0.15089817,-0.029374924,-0.37422097,0.0015817076,-0.37422097,-0.06514858,-0.34769228,0.024012906
121,-0.37926534,0.0015817076,-0.3792653,-0.03690524,-0.1508857,-0.029393274,-0.3742221,0.0015817076,-0.3742221,-0.065168366,-0.3476992,0.023988405
122,-0.37928343,0.0015817076,-0.3792834,-0.036871318,-0.15088373,-0.029338328,-0.37424228,0.0015817076,-0.37424228,-0.06517703,-0.3477109,0.02403676
123,-0.3792749,0.0015817076,-0.37927487,-0.03683907,-0.15086792,-0.029353097,-0.3742358,0.0015817076,-0.3742358,-0.065197475,-0.34771648,0.024016315
124,-0.37926102,0.0015817076,-0.379261,-0.03681078,-0.15085478,-0.029413989,-0.3742237,0.0015817076,-0.3742237,-0.0652101,-0.34770793,0.02392854
125,-0.37929934,0.0015817076,-0.3792993,-0.03676169,-0.15085989,-0.029298626,-0.37426493,0.0015817076,-0.37426493,-0.065212555,-0.3477429,0.024027655
126,-0.379305,0.0015817076,-0.37930498,-0.036712393,-0.15085652,-0.029289827,-0.3742738,0.0015817076,-0.3742738,-0.06521928,-0.3477741,0.02404157
127,-0.37927747,0.0015817076,-0.37927744,-0.036669124,-0.15084617,-0.029337097,-0.37424922,0.0015817076,-0.37424922,-0.06522074,-0.3477735,0.02398316
128,-0.37924346,0.0015817076,-0.37924343,-0.03662357,-0.15084153,-0.029435009,-0.3742185,0.0015817076,-0.3742185,-0.06521987,-0.3477831,0.023874758
129,-0.379275,0.0015817076,-0.37927496,-0.036572207,-0.15085423,-0.02938118,-0.3742532,0.0015817076,-0.3742532,-0.06521484,-0.34782282,0.023918826
130,-0.3793147,0.0015817076,-0.37931466,-0.03652555,-0.15086053,-0.02929298,-0.37429574,0.0015817076,-0.37429574,-0.065218404,-0.34785822,0.024002418
131,-0.37931535,0.0015817076,-0.37931532,-0.036498986,-0.15084635,-0.029313853,-0.37429798,0.0015817076,-0.37429798,-0.06523912,-0.3478566,0.02395862
132,-0.3793173,0.0015817076,-0.37931728,-0.036466714,-0.15083003,-0.029329203,-0.37430185,0.0015817076,-0.37430185,-0.065267906,-0.34787378,0.023944508
133,-0.3793152,0.0015817076,-0.37931517,-0.03642079,-0.15082559,-0.029304499,-0.37430272,0.0015817076,-0.37430272,-0.06527152,-0.34789127,0.023981238
134,-0.3793021,0.0015817076,-0.37930208,-0.03640776,-0.1507996,-0.029364053,-0.3742903,0.0015817076,-0.3742903,-0.06530478,-0.34786958,0.023893116
135,-0.37930876,0.0015817076,-0.37930873,-0.03635468,-0.15080246,-0.029358637,-0.37430042,0.0015817076,-0.37430042,-0.065304436,-0.34790176,0.023900226
136,-0.3793287,0.0015817076,-0.37932867,-0.03629269,-0.15081948,-0.029296998,-0.37432447,0.0015817076,-0.37432447,-0.065286115,-0.3479428,0.023983957
137,-0.37932065,0.0015817076,-0.37932062,-0.036251668,-0.15081224,-0.029322263,-0.3743191,0.0015817076,-0.3743191,-0.06529655,-0.34795702,0.023966188
138,-0.3793141,0.0015817076,-0.37931406,-0.036211867,-0.15079546,-0.029329926,-0.37431502,0.0015817076,-0.37431502,-0.06531811,-0.34797254,0.023975607
139,-0.37930086,0.0015817076,-0.37930083,-0.03617166,-0.15078197,-0.029359467,-0.37430444,0.0015817076,-0.37430444,-0.065334216,-0.34798324,0.023962857
140,-0.37931302,0.0015817076,-0.379313,-0.036133736,-0.15077202,-0.02930325,-0.37431887,0.0015817076,-0.37431887,-0.06535215,-0.347999,0.024038842
141,-0.37929532,0.0015817076,-0.3792953,-0.03611933,-0.15073644,-0.029347656,-0.37430185,0.0015817076,-0.37430185,-0.06539793,-0.34798014,0.023981525
142,-0.37926155,0.0015817076,-0.37926152,-0.03606749,-0.15072714,-0.029411811,-0.37427166,0.0015817076,-0.37427166,-0.065400116,-0.3479933,0.023888968
143,-0.3792856,0.0015817076,-0.37928557,-0.036027998,-0.1507227,-0.029367387,-0.37429807,0.0015817076,-0.37429807,-0.06542006,-0.34802368,0.023929428
144,-0.37930337,0.0015817076,-0.37930334,-0.035970632,-0.15073429,-0.029316701,-0.37431955,0.0015817076,-0.37431955,-0.06541088,-0.34805948,0.023994287
145,-0.37930238,0.0015817076,-0.37930235,-0.03592504,-0.15072706,-0.029328134,-0.37432152,0.0015817076,-0.37432152,-0.06542466,-0.34808302,0.023994915
146,-0.37928033,0.0015817076,-0.3792803,-0.035893023,-0.15070891,-0.029407395,-0.37430152,0.0015817076,-0.37430152,-0.06544631,-0.348079,0.02390521
147,-0.3793092,0.0015817076,-0.37930918,-0.03585236,-0.15069357,-0.02931017,-0.3743326,0.0015817076,-0.3743326,-0.06547635,-0.34810856,0.024007455
148,-0.3793255,0.0015817076,-0.37932548,-0.03584567,-0.15065257,-0.029245721,-0.37434864,0.0015817076,-0.37434864,-0.06553798,-0.34809318,0.024040934
149,-0.37929052,0.0015817076,-0.3792905,-0.035822377,-0.15062648,-0.029334852,-0.37431523,0.0015817076,-0.37431523,-0.06555955,-0.34806356,0.023914248
150,-0.37926435,0.0015817076,-0.37926432,-0.035775818,-0.15061608,-0.029385902,-0.37429225,0.0015817076,-0.37429225,-0.06556596,-0.3480708,0.023871254
151,-0.3792772,0.0015817076,-0.37927717,-0.035716005,-0.1506209,-0.029358009,-0.374309,0.0015817076,-0.374309,-0.0655633,-0.34810793,0.023914432
152,-0.3792971,0.0015817076,-0.37929708,-0.035668254,-0.15062116,-0.029327814,-0.37433183,0.0015817076,-0.37433183,-0.065569274,-0.34813145,0.023943368
153,-0.37930748,0.0015817076,-0.37930745,-0.035615794,-0.15061826,-0.029294383,-0.37434554,0.0015817076,-0.37434554,-0.06557442,-0.34815672,0.023995705
154,-0.37928694,0.0015817076,-0.37928692,-0.03558252,-0.15059748,-0.029356033,-0.37432712,0.0015817076,-0.37432712,-0.065597884,-0.34815252,0.023935508
155,-0.37927356,0.0015817076,-0.37927353,-0.03552283,-0.15059657,-0.02937353,-0.37431782,0.0015817076,-0.37431782,-0.065597415,-0.34818253,0.02394156
