Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa
93,-0.20179124,0.0015817076,-0.20179124,0.05817739,-0.10954384,0.002569075,-0.20269127,0.0015817076,-0.20269121,0.11909567,-0.1575481,0.0155189345,-0.20159116,0.0015817076,-0.20159112,0.21651861,-0.118602194,-0.0029531133
94,-0.19984531,0.0015817076,-0.19984531,0.058025993,-0.102835536,0.0054926,-0.20083748,0.0015817076,-0.20083742,0.11440786,-0.15263754,0.01828518,-0.19976689,0.0015817076,-0.19976684,0.21161072,-0.11736645,-0.00079654634
95,-0.19380097,0.0015817076,-0.19380097,0.057951774,-0.10620475,0.0038711543,-0.19474152,0.0015817076,-0.19474146,0.11692527,-0.15569606,0.01653859,-0.19366533,0.0015817076,-0.19366528,0.21583267,-0.11558048,-0.00303132
96,-0.1940743,0.0015817076,-0.1940743,0.058386087,-0.100654975,0.004399712,-0.19510427,0.0015817076,-0.19510421,0.11342784,-0.15177399,0.017012108,-0.19405007,0.0015817076,-0.19405003,0.2123207,-0.11491785,-0.00277159
97,-0.19527595,0.0015817076,-0.19527595,0.058809996,-0.1054317,0.0066049914,-0.19624768,0.0015817076,-0.19624762,0.11754603,-0.15564115,0.01919183,-0.19519298,0.0015817076,-0.19519293,0.21708111,-0.112068474,-0.00068971375
98,-0.19261429,0.0015817076,-0.19261429,0.061190728,-0.09722454,0.0043531703,-0.19376345,0.0015817076,-0.19376339,0.11368866,-0.1496506,0.01693204,-0.19278881,0.0015817076,-0.19278876,0.21324947,-0.11312027,-0.0029821293
99,-0.19356722,0.0015817076,-0.19356722,0.065925784,-0.09807413,0.004607717,-0.1948068,0.0015817076,-0.19480674,0.11900529,-0.14978066,0.017182006,-0.19396816,0.0015817076,-0.19396812,0.21724987,-0.11335572,-0.0027498158
100,-0.19323716,0.0015817076,-0.19323714,0.06744852,-0.09973428,0.0066907657,-0.19448496,0.0015817076,-0.1944849,0.121831074,-0.15107949,0.019261291,-0.1936863,0.0015817076,-0.19368626,0.22015226,-0.1116581,-0.0006837218
101,-0.19150534,0.0015817076,-0.19150533,0.064284824,-0.099474065,0.006224001,-0.19268383,0.0015817076,-0.19268377,0.11879404,-0.15216655,0.018704688,-0.19177444,0.0015817076,-0.1917744,0.22000125,-0.11002434,-0.0014260608
102,-0.19940709,0.0015817076,-0.19940707,0.059589237,-0.094914705,0.0035567945,-0.2005495,0.0015817076,-0.20054944,0.11118398,-0.15030366,0.015935775,-0.19947338,0.0015817076,-0.19947335,0.21493833,-0.107716314,-0.004137583
103,-0.20377825,0.0015817076,-0.20377824,0.061673515,-0.098148525,0.0037110657,-0.20492034,0.0015817076,-0.20492028,0.11582532,-0.1526253,0.016093655,-0.20389386,0.0015817076,-0.20389383,0.21916354,-0.10516775,-0.0036270523
104,-0.19814557,0.0015817076,-0.19814555,0.06100553,-0.098323874,0.0037544398,-0.19926839,0.0015817076,-0.19926833,0.11564982,-0.15312012,0.01591862,-0.19823618,0.0015817076,-0.19823615,0.22008161,-0.10406002,-0.0042333663
105,-0.19590005,0.0015817076,-0.19590004,0.05791587,-0.10408294,0.0045324303,-0.19687435,0.0015817076,-0.19687429,0.11775485,-0.15815574,0.016421037,-0.19576313,0.0015817076,-0.1957631,0.22400352,-0.10052015,-0.0042323517
